COMPANY;FUND;INVESTMENT MIN;INVESTMENT MAX;COUNTRY;ADDRESS;ZIP;CITY;STATE;PHONE;FAX;EMAIL;WEBSITE;STAGE;INDUSTRY PREFERENCES;INVESTOR TYPES;COMMENTS;MANAGEMENT TEAMNAME;PHONES;EMAILS
Brantley Partners;1500000000;200000000;200000000;United States of America;3201 Enterprise Parkway, Suite 350;44122;Beachwood;Ohio;216-464-8400 ;(216) 464-8405;info@brantleypartners.com;http://www.brantleypartners.com/;Later Stage,Management Buyout,Consolidation,Expansion,Leveraged Buyout,Mezzanine,Recapitalization;Aerospace,Business Products,Business Services,Computer Services,Distribution,Diversified,Consumer Products,Consumer Services,Enthusiast, Craft & Hobby Products,Food & Ingredients,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Industrial Products,Manufacturing,Retail and wholesale,Software,Technology,Transportation;Venture Capital Firm,Private Equity Firm;;Robert	P.	Pinkas Partner,Paul	H.	Cascio Partner,Kevin	J.	Cook Partner,Curtis	 Witchey CFO,Adam	D.	Bentkover Associate,Robert	L.	Creighton Associate;216-464-8400 ,216-464-8400 ,216-464-8400,216-464-8400,216-464-8400,216-464-8400;rpinkas@brantleypartners.com	,pcascio@brantleypartners.com	,kcook@brantleypartners.com	,cwitchey@brantleypartners.com	,abentkover@brantleypartners.com	,rcreighton@brantleypartners.com	
Brass Ring Capital, Minneapolis;350000000;20000000;20000000;United States of America;301 Carlson Parkway, Suite 265;55305;Minnetonka;Minnesota;952.473.2710 ;(952) 473-3607;djr@brassringcapital.com;http://www.brassringcapital.com/;Early Stage,Later Stage,Management Buyout,Consolidation,Expansion,Leveraged Buyout,Mezzanine,Restructuring;Diversified,Consumer Products,Consumer Services,Energy & Natural Resources,Industrial Products,Industrial Services,Manufacturing,Technology;Private Equity Firm,Private Investor;;David	 J. Raffel Director,Steven	D.	Peterson Director;952.473.2710 ,952.473.2710 ;djr@brassringcapital.com	,sdp@brassringcapital.com	
Bridge Industries, LLC ;450000000;20000000;20000000;United States of America;87 E.Washington Street;44022;Chagrin Falls;Ohio;440-893-9070;(216) 509-7773;jb@bridgeind.com;http://www.bridgeind.com/;Later Stage,Management Buyout,Expansion,Leveraged Buyout;Aerospace,Agriculture,Diversified,Defense, Military & Homeland Security,Energy & Natural Resources,Healthcare,Industrial Products,Industrial Services,Medical Devices,Medical Services,Real Estate, Construction & Infrastructure,Technology,Transportation;Private Equity Firm;;Jeffrey H. Berlin,  President,Joel M. Falck,  CFO;(440) 893-9070,(440) 893-9070;jb@bridgeind.com,jfalck@bridgeind.com
;360000000;20000000;20000000;United States of America;;;;Alabama;;;;;;;;;;;
Brazos Private Equity Partners, LLC;3000000000;100000000;100000000;United States of America;100 Crescent Court, Suite 1777;75201;Dallas;Texas;(214) 756-6500;(214) 756-6505;rfojtasek@brazosinv.com;http://www.brazosinv.com/;Management Buyout,Leveraged Buyout,Recapitalization;Business Services,Distribution,Diversified,Consumer Products,Financial Services,Healthcare,Industrial Products,Industrial Services,Manufacturing;Private Equity Firm;;Randall S. Fojtasek Co-founder and LLC Partner,Jeff S. Fronterhouse Co-founder and LLC Partner,Patrick K. McGee Co-founder and LLC Partner,Michael D. Salim,Glenn W. Askew, III,F. Russell Beard, Jr. Vice President,Lucas T. Cutler Managing Director;(214) 756-6511,(214) 756-6501,(214) 756-6544,(214) 756-6525,(214) 756-6524,(214) 756-6532,(214) 756-6534;rfojtasek@brazosinv.com,jfronterhouse@brazosinv.com,pmcgee@brazosinv.com,msalim@brazosinv.com,gaskew@brazosinv.com,rbeard@brazosinv.com,lcutler@brazosinv.com
Brentwood Associates private equity;1000000000;150000000;150000000;United States of America;11150 Santa Monica Blvd. Suite 1200;90025;Los Angeles;California;310-477-6611;(310) 477-1011;;http://www.brentwood.com/;Early Stage,Later Stage,Management Buyout,Consolidation,Expansion,Leveraged Buyout,Recapitalization;Business Services,Distribution,Education,Consumer Products,Consumer Services,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Leisure Products and Services,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Retail and wholesale;Venture Capital Firm,Private Equity Firm;;William	M.	Barnum	Jr.	Partner,Edward	L.	McCall, Partner,Anthony	 Choe	 Partner,Roger	V.	Goddu	 Partner,Rahul	 Aggarwal Director,Steven	W.	Moore	 Partner;310-477-6611,310-477-6611,310-477-6611,310-477-6611,310-477-6611,310-477-6611;bbarnum@brentwood.com	,emccall@brentwood.com	,achoe@brentwood.com	,rgoddu@brentwood.com	,raggarwal@brentwood.com	,smoore@brentwood.com
Brera Capital Partners, LLC;680000000;150000000;150000000;United States of America;805 Third Avenue, Floor 19;10022 ;New York;New York;212 230 5495 ;(212) 888 5206;info@brera.com;http://www.brera.com/;Later Stage,Management Buyout,Expansion,Leveraged Buyout;Business Services,Insurance,Real Estate, Construction & Infrastructure;Private Equity Firm;;;;
Bridge Street Capital Partners, L.L.C. Chicago Office;220000000;12000000;12000000;United States of America;52 Village Place;60521;Hinsdale;Illinois;630.323.9222;(630) 323-9224;bill@bridgestreetcapital.com;http://www.bridgestreetcapital.com/;Later Stage,Expansion;Business Services,Diversified,Consumer Products,Food & Ingredients,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production);Private Equity Firm;;William F. Kaczynski, Jr.,John	J. Meilner, Partner;(630) 323-9222,(630) 323-9222;bill@bridgestreetcapital.com,john@bridgestreetcapital.com	
Bridgepoint, Frankfurt;2000000000;400000000;400000000;Germany;Neue Mainzer Straße 28 ;D-60311;Frankfurt;;+49 (0) 69 21 08 77 ;;Frankfurt@bridgepoint.eu;http://www.bridgepoint.eu/;Later Stage,Expansion;Diversified,Consumer Products,Consumer Services,Enthusiast, Craft & Hobby Products,Financial Services,Healthcare,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production);Private Equity Firm;;Christoph Braks,Uwe Kolb,Beate Pelz,Rupprecht Pranckh,Marc Zügel;+49 (0) 69 21 08 77 ,+49 (0) 69 21 08 77 ,+49 (0) 69 21 08 77 ,+49 (0) 69 21 08 77 ,+49 (0) 69 21 08 77 ;christoph.braks@bridgepoint.eu, uwe.kolb@bridgepoint.eu,beate.pelz@bridgepoint.eu,rupprecht.pranckh@bridgepoint.eu,marc.zuegel@bridgepoint.eu
Bridgepoint, Istanbul;6000000000;800000000;800000000;Turkey;Vişnezade Mahallesi Suleyman Seba Caddesi BJK Plaza no:48 A blok 9.kat D:93-94 Akaretler;;Istanbul;;+90 212 310 8252;;Istanbul@bridgepoint.eu;http://www.bridgepoint.eu/;Later Stage,Management Buyout,Consolidation,Expansion,Leveraged Buyout,Mezzanine;Business Services,Consumer Services,Financial Services,Healthcare,Industrial Products,Industrial Services,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Technology;Private Equity Firm;;Martin Dunn, Director,Tolga Sengel Associate,Benoit Alteirac Director,John Barber, Partner ,Raoul Hughes, Partner and CFO,Benoit Alteirac Director,Edward Woods Director; +44 (0) 20 7432 350,+44 (0) 20 7432 3500,+44 (0) 20 7432 3500,+44 (0) 20 7432 3500,+44 (0) 20 7432 3500,+44 (0) 20 7432 3500,+44 (0) 20 7432 3500;martin.dunn@bridgepoint.eu,tolga.sengel@bridgepoint.eu,benoit.alteirac@bridgepoint.eu,john.barber@bridgepoint.eu,raoul.hughes@bridgepoint.eu,benoit.alteirac@bridgepoint.eu,edward.woods@bridgepoint.eu
Bridgepoint, London;1200000000;500000000;500000000;United Kingdom;30 Warwick Street;W1B 5AL;London;England;+44 (0) 20 7034 3500;;London@bridgepoint.eu;http://www.bridgepoint-capital.com/;Later Stage,Expansion;Business Products,Business Services,Communication & Computer Networks,Consumer Products,Consumer Services,Financial Services,Healthcare,Internet,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Software,Technology;Private Equity Firm;;;;
Venture Investment Forum Central Office;25000000;450000;450000;United States of America;115 Technology Center;PA 16802;University Park;Pennsylvania;;;slm5@psu.edu;http://cnp.benfranklin.org/;Early Stage,Later Stage,Seed,StartUp,Series B,Series A;Business Services,Computer Services,Computer Hardware,Communication & Computer Networks,Manufacturing,Software,Technology;Venture Capital Firm,Private Equity Firm;;Steve McGregor;;slm5@psu.edu
Charlston Angel Partners;230000000;15000000;15000000;United States of America;The Tate Center for Entrepreneurship College of Charleston 5 Liberty Street,;SC 29424;Charleston;South Carolina;(843) 881-5623;;Andrea@CharlestonAngels.com;http://www.chapsc.com/;Early Stage,Seed,Expansion,StartUp,Series B,Series A;Biotechnology,Business Products,Business Services,Communication & Computer Networks,Consumer Products,Healthcare,Industrial Products,Industrial Services,Manufacturing,Medical Devices,Pharmaceuticals,Software,Technology,Cellular (applications, devices and infrastructure) ;Angel Investor;;Andrea Marshall;(843) 881-5623;Andrea@CharlestonAngels.com
Bridgepoint, Luxembourg;1200000000;500000000;500000000;Luxembourg;24 rue Beaumont L-1219;L-1219 ;Luxembourg;;;;Luxembourg@bridgepoint.eu;http://www.bridgepoint-capital.com/;Later Stage,Expansion;Distribution,Consumer Products,Consumer Services,Financial Services,Healthcare,Industrial Products,Industrial Services,Internet,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Semiconductors,Software,Technology;Private Equity Firm;;;;
Bridgepoint, Madrid;1200000000;500000000;500000000;Spain;Calle de Rafael Calvo 39A-4°;28010;Madrid;;+34 91 702 24 90;;Madrid@bridgepoint.eu;http://www.bridgepoint-capital.com/;Later Stage,Expansion;Business Products,Business Services,Communication & Computer Networks,Consumer Products,Consumer Services,Financial Services,Healthcare,Industrial Products,Industrial Services,Internet,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Semiconductors,Software,Technology,Telecommunication;Private Equity Firm;;;;
Bridgepoint, Paris;1200000000;20000000;500000000;France;37-39 rue de la Bienfaisance;75008;Paris;;;;info@bridgepoint.eu;http://www.bridgepoint-capital.com/;Expansion,Later Stage;Communication &amp  Computer Networks,Consumer Products,Consumer Services,Diversified,Financial Services,Healthcare,Industrial Products,Industrial Services,Media &amp  Entertainment (Including Television, Radio, Newspapers, Internet &amp  Film Production),Software,Technology;Private Equity Firm;;;;
Bridgepoint, Stolkholm;1200000000;500000000;500000000;Sweden;Mäster Samuelsgatan 1 ;111 44;Stockholm;;+46 (0) 8 545 168 20;;Stockholm@bridgepoint.eu;http://www.bridgepoint.eu/;Later Stage,Expansion;Communication & Computer Networks,Consumer Products,Consumer Services,Financial Services,Healthcare,Internet,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Software,Technology;Private Equity Firm;;;;
Bridgepoint, Warsaw;1200000000;500000000;500000000;Poland;ul. Rondo ONZ;1 00-124 ;Warszawa;;+48 022 417 17 17;;Warsaw@bridgepoint.eu;http://www.bridgepoint-capital.com/;Later Stage,Management Buyout,Expansion,Leveraged Buyout;Business Products,Business Services,Consumer Products,Consumer Services,Financial Services,Healthcare,Industrial Products,Industrial Services,Manufacturing,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Software,Technology;Private Equity Firm;;;;
Bridge West, LLC;260000000;15000000;15000000;United States of America;100 Fillmore Street ;;San Diego;California;858-410-5900 ;858-410-5999 ;;;Early Stage,Later Stage,Expansion,StartUp;Business Services,Computer Services,Computer Hardware,Communication & Computer Networks,Internet,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Technology,Telecommunication;Private Equity Firm;Bridge West's geographic preference covers Latin America, the United States, Europe, and Asia.;Massih Tayebi Ph.D. Chairman, Chief Executive Officer and President, Rapid Bridge, LLC,Adam J. Gickling Chief Financial Officer, Skyriver Communications, Inc.;;
Brighton Partners, LLC;180000000;5000000;5000000;United States of America;1201 Peachtree Street 400 Colony Square, Suite 530;30361;Atlanta;Georgia;;(404) 926-3497;lfry@bpequity.com;http://bpequity.com;Later Stage,Management Buyout,Expansion,Leveraged Buyout;Business Products,Business Services,Distribution,Diversified,Consumer Services,Industrial Products,Industrial Services,Manufacturing,Retail and wholesale;Private Equity Firm;Geographic preference is the Southeast and Midwest regions of the United States;Daniel G. Broos,Thomas W. Horner,Leigh S. Fry;(404) 926-3486,(404) 926-3491,(404) 926-3488;dbroos@bpequity.com,thorner@bpequity.com,lfry@bpequity.com
Brockhaus Private Equity, GmbH;225000000;28000000;28000000;Germany;Myliusstraße 30;D-60323;Frankfurt am Main;;;+49 (69) 71 91 61 71;info@brockhaus-pe.com;http://www.brockhaus-pe.com/;Early Stage,Later Stage,Expansion,Mezzanine;Computer Services,Computer Hardware,Communication & Computer Networks,Internet,IT Services,Semiconductors,Software,Technology,Cellular (applications, devices and infrastructure) ;Private Equity Firm;;;;
Brockway Moran & Partners, Inc.;1300000000;150000000;150000000;United States of America;225 N.E. Mizner Boulevard, Suite 700;33432;Boca Raton;Florida;;(561) 750-2001;info@brockwaymoran.com;http://www.brockwaymoran.com/;Later Stage,Management Buyout,Expansion,Leveraged Buyout,Recapitalization;Distribution,Diversified,Electronics,Consumer Products,Consumer Services,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Manufacturing,Medical Services,Pet & Animal Products/Services,Software,Technology;Private Equity Firm;;Peter C. Brockway, Managing Partner,	 Michael E. Moran, Managing Partner,Patrick J. Boroian, Partner,Mark A. Eidemueller, Partner,Peter W. Klein, Partner & General Counsel;;pbrockway@brockwaymoran.com,mmoran@brockwaymoran.com,pboroian@brockwaymoran.com,meidemueller@brockwaymoran.com,pklein@brockwaymoran.com
Brookstone Partners;340000000;15000000;15000000;United States of America;317 Madison Avenue, Suite 405;10017;New York;New York;;(212) 302-5888;proposals@brookstonepartners.com;http://www.brookstonepartners.com/;Later Stage,Expansion;Business Services,Distribution,Diversified,Consumer Products,Consumer Services,Financial Services,Industrial Products,Industrial Services,Manufacturing,Real Estate, Construction & Infrastructure,Technology;Private Equity Firm;; Michael Toporek, Founder and Managing General Partner,Perry P. Jacobson, Managing Director,Bardia Mesbah , Managing Director,Matthew Lipman, Managing Director,Phillip Ng, Associate,Menashe Sasson, Analyst;212.302.8558,212.302.7667,212.302.7007,212.302.0699,212.302.2425,212.302.2426;toporekm@brookstonepartners.com,jacobsonp@brookstonepartners.com,mesbahb@brookstonepartners.com,lipmanm@brookstonepartners.com,ngp@brookstonepartners.com,sassonm@brookstonepartners.com
Brookwood Financial Partners, L.P.;230000000;10000000;10000000;United States of America;72 Cherry Hill Drive;01915;Beverly;Massachusetts;;(978) 927-0499;information@brookwoodfinancial.com;https://brookwoodfinancial.com;Expansion,Recapitalization;Diversified,Communication & Computer Networks,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Real Estate, Construction & Infrastructure,Software,Technology,Telecommunication,Cellular (applications, devices and infrastructure) ;Private Equity Firm;; Thomas N. Trkla Founding Partner, Chairman, President and Chief Executive Officer, Thomas W. Brown Partner, Senior Managing Director and Director of Acquisitions;(978) 927-8300 x200,(978) 927-8300 x202;ttrkla@brookwoodfinancial.com,tbrown@brookwoodfinancial.com
Brysam Global Partners;80000000;15000000;15000000;United States of America;277 Park Avenue  35th Floor ;10172 ;New York;New York;;;bgp@brysam.com;http://www.brysam.com/;Early Stage,Later Stage,Expansion;Consumer Products,Consumer Services,Financial Services;Venture Capital Firm,Private Equity Firm;;Mr. Robert Bruce Willumstad Co-Founder, Partner, and Senior Adviser,Ms. Marjorie Magner Managing Partner, Founding Member and Partner,Ms. Meredith Spatz, Director,Ms. Trang-Thu Tran, Principal;;
Buckingham Capital Partners;280000000;20000000;20000000;United States of America;950 Third Avenue, 19th Floor;10022;New York;New York;;(212) 752-0505 ;ssheth@buckinghamcapital.com;http://www.buckinghamcapital.com/;Management Buyout,Expansion,Leveraged Buyout;Industrial Products,Industrial Services,Manufacturing,Technology;Private Equity Firm;;Shail Sheth, Managing Partner,Albert Naggar, Managing Partner,Thomas Mistler, Operating Partner,Michael Liang, Associate;(212) 752-5948,(212) 752-5978,(610) 892-2995,(212) 752-5952;ssheth@buckinghamcapital.com,anaggar@buckinghamcapital.com,tmistler@buckinghamcapital.com,mliang@buckinghamcapital.com
Buerk Dale Victor LLC;100000000;12000000;12000000;United States of America;1200 Fifth Ave, Suite 1800;98101;Seattle;Washington;;(206) 956-0863;tmarker@bdvllc.com;http://www.bdvllc.com/;Early Stage,Later Stage,Expansion;Business Products,Business Services,Computer Services,Computer Hardware,Diversified,Communication & Computer Networks,Consumer Products,Consumer Services,Defense, Military & Homeland Security,Internet,Software,Technology,Cellular (applications, devices and infrastructure) ;Private Equity Firm;;;;
Buffalo Capital Partners, L.P.;400000000;20000000;20000000;United States of America;2437 ½ University Blvd.;77005;Houston;Texas;;(713) 521-2701;jturner@buffalomanagement.com;http://www.buffalomanagement.com/;Management Buyout,Expansion,Leveraged Buyout;Business Products,Business Services,Computer Services,Distribution,Diversified,Consumer Services,Financial Services,Industrial Products,Industrial Services,IT Services,Manufacturing;Private Equity Firm;;James G. Turner, Managing Partner;713) 521-2605;jturner@buffalomanagement.com
Bunker Hill Capital, Boston;400000000;15000000;15000000;United States of America;260 Franklin Street, Suite 1860;02110;Boston;Massachusetts;;(617) 720-4037;angela.jajko@bunkerhillcapital.com;http://www.bunkerhillcapital.com/;Later Stage,Expansion,Leveraged Buyout,Mezzanine,Recapitalization;Aerospace,Agriculture,Business Products,Business Services,Cleantech,Computer Services,Computer Hardware,Distribution,Education,Diversified,Electronics,Communication & Computer Networks,Consumer Products,Consumer Services,Defense, Military & Homeland Security,Energy & Natural Resources,Enthusiast, Craft & Hobby Products,Environment,Financial Services,Food & Ingredients,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Industrial Products,Industrial Services,Insurance,Internet,IT Services,Leisure Products and Services,Life Sciences,Manufacturing,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Medical Devices,Medical Services,Mining,Pet & Animal Products/Services,Pharmaceuticals,Real Estate, Construction & Infrastructure,Retail and wholesale,Semiconductors,Software,Technology,Telecommunication,Tourism & Hotels,Transportation;Private Equity Firm;;Mark H. DeBlois - Managing Partner,Robert L. Clark, Jr. - Managing Partner,Theresa A. Nibi - Managing Partner,Jason H. Hurd - Partner,Timothy N. Sheehy - Principal;(617) 720-4035,(617) 720-4032,(617) 720-4033,(617) 720-4034,(617) 720-4036;mark.deblois@bunkerhillcapital.com,rufus.clark@bunkerhillcapital.com,theresa.nibi@bunkerhillcapital.com,jason.hurd@bunkerhillcapital.com,tim.sheehy@bunkerhillcapital.com
Bunker Hill Capital, San Diego;400000000;15000000;15000000;United States of America;12625 High Bluff Drive, Suite 210;92130;San Diego;California;;(858) 793-4562;brian.kinsman@bunkerhillcapital.com;http://www.bunkerhillcapital.com/;;Aerospace,Agriculture,Biotechnology,Business Products,Business Services,Cleantech,Computer Services,Computer Hardware,Distribution,Education,Diversified,Electronics,Communication & Computer Networks,Consumer Products,Consumer Services,Defense, Military & Homeland Security,Energy & Natural Resources,Enthusiast, Craft & Hobby Products,Environment,Financial Services,Food & Ingredients,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Industrial Products,Industrial Services,Insurance,Internet,IT Services,Leisure Products and Services,Life Sciences,Manufacturing,Media & Entertainment (Including Television, Radio, Newspapers, Internet & Film Production),Medical Devices,Medical Services,Mining,Pet & Animal Products/Services,Pharmaceuticals,Real Estate, Construction & Infrastructure,Retail and wholesale,Semiconductors,Software,Technology,Telecommunication,Tourism & Hotels,Transportation;Private Equity Firm;;Brian E. Kinsman - Managing Partner;(858) 793-4560;brian.kinsman@bunkerhillcapital.com
Butler Capital Partners;450000000;20000000;20000000;France;30, COURS ALBERT 1ER;75008;PARIS;;;+33 (0)1 45 61 97 94;contact@butlercapitalpartners.com;http://www.butlercapitalpartners.com/;Early Stage,Later Stage,Expansion;Business Products,Business Services,Distribution,Diversified,Consumer Products,Consumer Services,Food & Ingredients,Industrial Products,Industrial Services,Internet,Manufacturing,Real Estate, Construction & Infrastructure,Retail and wholesale,Technology;Private Equity Firm;;Walter Butler, Associé, Président de BCP,Pierre Costes, Associé;;
The BV Group;560000000;22000000;22000000;United States of America;1650 Tysons Boulevard, Suite 950;22102-4879;McLean;Virginia;;(703) 748 7401;info@bvgroup.com;http://www.bvgroup.com/;Later Stage,Expansion,Mezzanine,Recapitalization;Education,Diversified,Financial Services,Real Estate, Construction & Infrastructure,Software,Technology;Private Equity Firm;;Michael A. Bober, Wealth Management,Ettore Ventrice, Managing Director,Michael MacDonald, Account Vice President ,Noah David Rubin, Account Vice President;561-416-6904,561-416-6906,561-416-6908,561-416-6909;michael.bober@ubs.com,ed.ventrice@ubs.com,michael.macdonald@ubs.com,noah.rubin@ubs.com
C3 Capital, LLC Dallas;250000000;10000000;10000000;United States of America;2100 McKinney Ave., Ste. 1550 ;75201;Dallas;Texas;;(214) 292-2007;jfritz@c3cap.com;http://www.c3holdings.com/;Later Stage,Management Buyout,Expansion,Leveraged Buyout;Business Products,Business Services,Cleantech,Distribution,Diversified,Consumer Products,Energy & Natural Resources,Manufacturing,Retail and wholesale;Private Equity Firm,Business Lender;;A. Baron Cass III,D. PATRICK CURRAN, PARTNER,PATRICK HEALY, PARTNER ;(214) 292-2000,(816) 360-1802,(816) 360-1804 ;bcass@c3cap.com,pcurran@c3cap.com,phealy@c3cap.com
Cabot Square Capital;230000000;20000000;20000000;United Kingdom;Byron House, 7 St James's Street;SW1A 1EE;London;England;+44(0)20 7579 9320;+44 (0)20 7579 9330;contact@cabotsquare.com;http://www.cabotsquare.com/;Early Stage,Later Stage,Seed,Expansion,Mezzanine,StartUp,Series B,Recapitalization,Series A;Business Products,Business Services,Computer Services,Computer Hardware,Distribution,Diversified,Communication & Computer Networks,Consumer Products,Consumer Services,Financial Services,Industrial Products,Internet,Manufacturing,Retail and wholesale,Software,Technology;Venture Capital Firm,Private Equity Firm;;;;
Cadent Energy Partners, New York;180000000;15000000;15000000;United States of America;800 Westchester Avenue Suite 617 North;10573;Rye Brook;New York;(914) 253-0400;(914) 253-0406;mcdermott@cadentenergy.com;www.cadentenergy.com;Later Stage,Expansion,Mezzanine;Energy & Natural Resources;Private Equity Firm;;Paul G. McDermott, Managing Partner,Bruce M. Rothstein, Managing Partner,Darin R. Booth, Partner,David Coppé, Partner;;mcdermott@cadentenergy.com,rothstein@cadentenergy.com,booth@cadentenergy.com,Coppe@cadentenergy.com
Caffery Capital Partners, LLC ;340000000;18000000;18000000;United States of America;240 Chestnut Street;60093 ;Winnetka;Illinois;;(847) 501-5509 ;tom@cafferycapital.com;http://www.cafferycapital.com/;Later Stage,Expansion,Mezzanine,Recapitalization;Business Services,Distribution,Diversified,Consumer Products,Internet,Manufacturing,Retail and wholesale,Software,Technology;Private Equity Firm;;Tom Caffrey, Executive Director;;tom@caffreycapital.com
CAI Private Equity, Vancouver;670000000;50000000;50000000;Canada;Suite 2833, Bentall Three 595 Burrard Street;V7X 1K8;Vancouver;British Columbia;;(604) 694-2524;tmcvicar@caifunds.com;http://www.caifunds.com/;Later Stage,Management Buyout,Consolidation,Expansion,Leveraged Buyout,Mezzanine,Restructuring,Series B;Business Products,Business Services,Diversified,Energy & Natural Resources,Environment,Financial Services,Industrial Products,Manufacturing,Real Estate, Construction & Infrastructure,Telecommunication;Private Equity Firm;;CURTIS W. JOHANSSON, PARTNER,ASHTON HERRIOTT, DIRECTOR,TRACEY L. MCVICAR, MANAGING PARTNER;604-694-2527;cjohansson@caifunds.com,aherriott@caifunds.com,tmcvicar@caifunds.com
CAI Private Equity, New York;650000000;50000000;50000000;United States of America;70 East 55th Street, 19th Floor;10022;New York;New York;;(212) 319-0232;pgottsegen@caifunds.com;http://www.caifunds.com/;Later Stage,Management Buyout,Consolidation,Expansion,Leveraged Buyout,Mezzanine,Restructuring,Series B;Business Products,Business Services,Energy & Natural Resources,Financial Services,Industrial Products,Real Estate, Construction & Infrastructure,Semiconductors,Technology,Telecommunication;Private Equity Firm;;PETER G. RESTLER, CHAIR ;;prestler@caifunds.com
Callisto Capital LP;340000000;40000000;40000000;Canada;Canada Trust Tower Brookfield Place, 161 Bay Street Suite 4540;M5J 2S1;Toronto;Ontario;;(416) 868-4910;bsumler@callistocapital.ca;http://www.callistocapital.ca/;Later Stage,Expansion,Mezzanine;Business Products,Business Services,Distribution,Diversified,Consumer Products,Consumer Services,Financial Services,Industrial Products,IT Services,Manufacturing,Retail and wholesale;Private Equity Firm;;James B. Walker, Managing Director,Joseph C. Shlesinger, Managing Director,Lawrence N. Stevenson, Managing Director  ,Blake Sumler, Senior Vice President,Janice Topp,  Senior Vice President;(416) 868-4912,(416) 868-4516,(416) 868-4512,(416) 868-4934,(416) 868-4914 ;jwalker@callistocapital.ca,jshlesinger@callistocapital.ca,lstevenson@callistocapital.ca,bsumler@callistocapital.ca,jtopp@callistocapital.ca
Caltius Capital;700000000;50000000;50000000;United States of America;11766 Wilshire Blvd., Suite 850;90025;Los Angeles;California;;(310) 996-9577 ;info@caltius.com;http://www.caltius.com/;Later Stage,Management Buyout,Expansion,Leveraged Buyout,Mezzanine,Recapitalization;Business Products,Business Services,Education,Consumer Products,Consumer Services,Food and Beverage (Including: Restaurant, coffee, Bakery, Bar, Buffer, Deli, Fast Food & Ice cream),Healthcare,Manufacturing;Private Equity Firm;;Jim Upchurch, President & CEO,Michael Kane, Managing Director,Greg Howorth, Managing Director;;jupchurch@caltius.com,mkane@caltius.com,ghoworth@caltius.com
Calvert Street Capital Partners;560000000;25000000;25000000;United States of America;111 South Calvert Street,  Suite 1800;21202;Baltimore;Maryland;;(443) 573-3702;cscp@cscp.com;http://www.cscp.com/;Later Stage,Management Buyout,Expansion,Leveraged Buyout,Mezzanine,Recapitalization;Business Services,Diversified,Consumer Products,Consumer Services,Industrial Services,Manufacturing;Private Equity Firm;;Michael J. Booth, Sarah P. Cheplak, Brian P. Guerin ,Joshua M.D. Hall ;443-573-3706,443-573-3711,443-573-3716,443-573-3707;mbooth@cscp.com,scheplak@cscp.com,bguerin@cscp.com,jhall@cscp.com
Camden Partners Holdings, LLC;2500000000;30000000;30000000;United States of America;500 East Pratt Street, Suite 1200;21202;Baltimore;Maryland;(410) 878-6800;(410) 878-6850;info@camdenpartners.com;http://www.camdenpartners.com/;Early Stage,Later Stage,Management Buyout,Seed,Consolidation,Expansion,Leveraged Buyout,Mezzanine,Restructuring,StartUp,Series B;Business Services,Education,Financial Services,Healthcare,Life Sciences;Private Equity Firm;;David L. Warnock, Managing Member,Richard Johnston, Managing Member,Richard M. Berkeley, Managing Member,Christopher W. Kersey, Managing Member,Christopher W. Kersey, Managing Member;(410) 878-6810,(410) 878-6840,(410) 878-6830,(410) 878-6815,(410) 878-6815;dwarnock@camdenpartners.com,djohnston@camdenpartners.com,rberkeley@camdenpartners.com,ckersey@camdenpartners.com,ckersey@camdenpartners.com
